"","X","IMPORTER","EXPORTER","ORIGIN","MONTH","title","L..COST..PhP.","QUANTITY.kg.","Phpkg","Countries"
"2831",2831,"IM DIGITAL PHIL INC","DONGGUAN IM DIGITAL ELECTRONIC","HK",6,"OTHERS",297638,31,9601.225806,"Hong Kong SAR China"
"2832",2832,"B/E AEROSPACE B.V. - (PHIL BRANCH)","KLX INC","US",6,"OTHERS",4090284,1478,2767.445196,"United States"
"2833",2833,"TI (PHILIPPINES) INC.","WON KANG TECHINCS CO., LTD","KR",6,"OTHERS",581891,210,2770.909524,"South Korea"
"2834",2834,"FISCHER PH ASIA INC","FISCHERWERKE GMBH  AND  CO.KG","DE",6,"OTHERS",512515,509,1006.905697,"Germany"
"2835",2835,"IONICS EMS INC.","NAMICS CORPORATION","JP",6,"OTHERS",1432618,42,34109.95238,"Japan"
"2836",2836,"NIDEC PHILIPPINES CORPORATION","KAKEN TECH CO., LTD","JP",6,"ADHESIVE",308639,19,16244.15789,"Japan"
"2837",2837,"ASTEC POWER PHILIPPINES INC","ASTEC INTERNATIONAL LTD","HK",6,"GLUE",2428002,480,5058.3375,"Hong Kong SAR China"
"2838",2838,"NANOX PHILIPPINES INC","ELEMATEC CORPORATION","JP",6,"OTHERS",436586,2,218293,"Japan"
"2839",2839,"INTEGRATED MICRO-ELECTRONICS INC.","ROGERS GERMANY GMBH","DE",6,"OTHERS",623666,168,3712.297619,"Germany"
"2840",2840,"TDK PHILIPPINES CORPORATION","DELO INDUSTRIE KLEBSTOFFE GMBH & CO","DE",6,"OTHERS",797554,57,13992.17544,"Germany"
"2841",2841,"TEAM ENERGY CORPORATION","A&E INTERNATIONAL TRADING CORP","US",6,"OTHERS",704631,384,1834.976563,"United States"
"2842",2842,"ON SEMICONDUCTOR PHILIPPINES INC.","SUMITOMO BAKELITE SINGAPORE","SG",6,"OTHERS",7126994,378,18854.48148,"Singapore"
"2843",2843,"ALLEGRO MICROSYSTEMS PHILIPPINES","SUMITOMO BAKELITE SINGAPORE PTE LTD","SG",6,"OTHERS",840010,48,17500.20833,"Singapore"
"2844",2844,"AUTOMATED TECHNOLOGY (PHIL) INC.","SUMITOMO BAKELIFE SINGAPORE PTE LT","SG",6,"OTHERS",554732,48,11556.91667,"Singapore"
"2845",2845,"AMERTRON INCORPORATED","KYOEI DENKI PTE LTD.","SG",6,"OTHERS",1924645,146,13182.5,"Singapore"
"2846",2846,"AMERTRON INCORPORATED","KYOEI DENKI (S) PTE LTD.","SG",6,"OTHERS",1025396,254,4036.992126,"Singapore"
"2847",2847,"WYNTRON INC.","DYMAX ASIA PACIFIC PTE LTD","SG",6,"ADHESIVE",659224,203,3247.408867,"Singapore"
"2848",2848,"AMERTRON INC.","UNITED RESIN CORPORATION","US",6,"ADHESIVE",650171,158,4115.006329,"United States"
