DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY(kg),DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
10-Jan,NESTLE PHILIPPINES INC.,ARLA FOODS AMBA,GH LESTE 708A,A10419185A,DK,"75,600",4X40 SODIUM CASEINATE,"510,620.73","26,350,399.00"
23-Jan,NEW FLAVOR HOUSE INC.,"SHANGHAI DONGSHENG BIO-TECH CO., LT",COSCO FUKUYAMA,GXSAG1712573G,CN,760,TRANSGLUTAMINASE TG-GB212,"25,197.60","1,279,424.00"
12-Jan,NEW ZEALAND CREAMERY INC.,FONTERRA LIMITED,CORNELIUS MAERSK 1710,81849,NZ,"16,000",RENNET CASEIN,"98,498.50","4,964,896.00"
25-Jan,NIDEC PHILIPPINES CORPORATION,"KAKEN TECH CO., LTD",PR407,63792,JP,19,CONDUCTIVE ADHESIVE,"5,277.60","300,117.00"
17-Jan,NIKKOSHI PHILIPPINES CORPORATION,KISCO (T) LTD.,TG620,HHE66184680,TH,44,"NICBOND 3040 PART A, ETC.","5,027.80","271,313.00"
4-Jan,NIPPON PAINT COATINGS PHILIPPINES,SUZUKACOAT (M) SDN BHD,HAMMONIA BEROLINA V.1722,MCB045073,MY,"19,800",1X20 STC MALAYSIA TILELAC EMA BASE,"8,613.00","439,587.00"
16-Jan,NIPPON PAINT COATINGS PHILIPPINES,SUZUKACOAT (M) SDN BHD,SPECTRUM N V.1722,MCB066138,MY,"19,800",1X20 STC MALAYSIA TILELAC EMA BASE,"8,613.00","441,950.00"
24-Jan,NISSHO PRECISION PHILIPPINES INC.,NISSHO PRECISION(THAILAND)CO.LTD.,FX5158,355022,TH,196,SILICONE RUBBER,"7,727.79","410,980.00"
17-Jan,NUTRI-ASIA INC.,ROQUETTE ITALIA SPA,CMA CGM ANDROMEDA 248MEE,OOLU4044664150,IT,"38,000",CLEARAM CH 20 20 (MODIFIED STARCH ),"32,905.61","1,721,702.00"
17-Jan,NUTRI-ASIA INC.,ROQUETTE ITALIA SPA,NYK HAWK 004E,KKLUGOA144177,IT,"19,000",CLEARAM CH 20 20 (MODIFIED STARCH ),"16,452.92","864,013.00"
29-Jan,NUTRI-ASIA INC.,ROQUETTE ITALIA SPA,CMA CGM TITAN 252MEE,OOLU4044783380,IT,"19,000",CLEARAM CH 20 20 (MODIFIED STARCH ),"16,452.87","877,194.00"
19-Jan,NUTRI-ASIA INC.,TATE & LYLE NETHERLANDS B.V.,THALASSA MANA 018E,OOLU4026931870,NL,"39,500",MODIFIED WAXYMAIZE STARCH,"35,312.64","1,854,692.00"
30-Jan,NUTRI-ASIA INC.,TATE & LYLE NETHERLANDS B.V.,CSCL STAR 052E,OOLU4026931860,NL,"39,500",MODIFIED WAXYMAIZE STARCH,"35,312.64","1,874,892.00"
22-Jan,NUTRI-ASIA INC.,TATE & LYLE NETHERLANDS B.V.,TAIPEI TRIUMPH 002E,OOLU4026916550,NL,"19,750",MODIFIED WAXYMAIZE STARCH,"17,656.31","930,503.00"
22-Jan,NUTRI-ASIA INC.,TATE & LYLE NETHERLANDS B.V.,THALASSA MANA 018E,OOLU4026916560,NL,"19,750",MODIFIED WAXYMAIZE STARCH,"17,656.31","930,503.00"
12-Jan,NUTRI-ASIA INC.,TATE & LYLE NETHERLANDS B.V.,THALASSA NIKI 018E,OOLU4044597270,NL,"19,750",MODIFIED WAXYMAIZE STARCH,"17,655.52","921,421.00"
15-Jan,NUTRI-ASIA INC.,TATE & LYLE NETHERLANDS B.V.,BALEARES 06151,OOLU4026932120,NL,"19,750",MODIFIED WAXYMAIZE STARCH,"17,881.78","936,618.00"
15-Jan,NUTRI-ASIA INC.,TATE & LYLE NETHERLANDS B.V.,BALEARES 6151N,OOLU4026916580,NL,"19,750",MODIFIED WAXYMAIZE STARCH,"17,881.76","936,617.00"
19-Jan,NUTRI-ASIA INC.,TATE & LYLE NETHERLANDS B.V.,THALASSA HELLAS 022E,OOLU4026936800,NL,"39,500",MODIFIED WAXYMAIZE STARCH 25kg,"35,312.64","1,854,692.00"
12-Jan,ON SEMICONDUCTOR PHILIPPINES INC.,SUMITOMO BAKELITE SINGAPORE,PR508,DIM023223624,SG,215,DIE ATTACH PASTE,"72,245.00","3,821,312.00"
24-Jan,ON SEMICONDUCTOR PHILIPPINES INC.,SUMITOMO BAKELITE SINGAPORE,PR502,DIM023225132,SG,90,DIE ATTACH PASTE,"26,745.00","1,424,862.00"
17-Jan,ON SEMICONDUCTOR PHILIPPINES INC.,SUMITOMO BAKELITE SINGAPORE,PR502,DIM023224102,SG,90,DIE ATTACH PASTE,"18,800.00","999,075.00"
17-Jan,OUROKU CORPORATION,GAIN CORPORATION,CHATTANOOGA V228S,YLKS7083315,JP,"39,573","NEOSTANN U-28, AQUAPROOF, CLEANKEEPER & ETC.","198,682.61","10,503,724.00"
12-Jan,PAREXGROUP INC.,EMFI SAS,NORTHERN DEMOCRAT V.  720A,AME65ME788327,DE,"10,699",ADHESIVES (LANKO GREY & WHITE),"34,364.51","1,825,523.00"
17-Jan,PAREXGROUP INC.,EMFI SAS,NORTHERN DIAMOND V. 802A,AME65ME788328,DE,"10,890",ADHESIVES(LANKO PH GREY & TH BLANC),"34,798.80","1,848,458.00"
4-Jan,PHILCHEMA INC,INDUSTRIAL TECNICA PECURIA S.A,OOCL AGYPT 010E,EGLV571700067486,ES,"15,000",CAPSOZYME P,"114,750.00","5,961,434.00"
12-Jan,PHILIPPINE INDUSTRIAL SEALANTS &,THE DOW CHEMICAL COMPANY,CAPE NABIL V.031S,KKLUUS0567027,US,"13,793",BETASEAL (TM) U-818 URETHANE SEALANT,"80,412.89","4,257,719.00"
12-Jan,PILIPINAS KYOHRITSU INC.,"SUMITOMO WIRING SYSTEMS, LTD",CAPE NABIL V031S,JPPHTYO03134,JP,391,SEALANT,"9,930.53","524,312.00"
26-Jan,PILIPINAS KYOHRITSU INC.,"SUMITOMO WIRING SYSTEMS, LTD",IWASHIRO V250S,JPPHTYO03138,JP,340,SEALANT,"8,649.17","460,505.00"
8-Jan,PILIPINAS KYOHRITSU INC.,"SUMITOMO WIRING SYSTEMS, LTD",CALLAO BRIDGE V121S,JPPHTYO03101,JP,617,SEALANT,"16,204.25","861,602.00"
15-Jan,PILIPINAS KYOHRITSU INC.,"SUMITOMO WIRING SYSTEMS, LTD",CAPE NABIL V030S,JPPHTYO03120,JP,466,SEALANT,"11,852.58","625,074.00"
15-Jan,PILIPINAS KYOHRITSU INC.,"SUMITOMO WIRING SYSTEMS, LTD",CALLAO BRIDGE V122S,JPPHTYO03124,JP,328,SEALANT,"8,328.84","440,120.00"
11-Jan,PPG INDUSTRIES SALES INC.,SHANGHAI GUANGSHANG ITN'L TRADE,TORRES STRAIT 1729,781937,CN,"11,455",2K NEXA PE PUTTY,"22,854.62","1,154,058.00"
10-Jan,PREMIERE ADHESIVES AND COATINGS INC,COOPERATIE AVEBE U.A.,THALASSA NIKI,OOLU4026922160,NL,"26,000",SOLVICOL GB,"38,297.90","1,991,237.00"
30-Jan,PRINT UNIVERSE GRAPHICS & PACKAGING,"SHNAGHAI ROCKY ADHESIVES CO.,",HYUNDAI FORWARD 077S,NGBMNL18010135,CN,"13,000",HOT MELT ADHESIVE RY26121,"13,152.00","715,846.00"
11-Jan,PROCTER & GAMBLE PHILIPPINES INC,HENKEL ADHESIVES TECHNOLOGIES (GUAN,E.R. MONTPELLIER V.18001S,TYSD011801020005,CN,"9,600",1X20 HOT MELT ADHESIVE,"51,230.40","2,587,182.00"
30-Jan,PROCTER & GAMBLE PHILIPPINES INC,HENKEL ADHESIVES TECHNOLOGIES (GUAN,TILLY RUSS V.011S,TYSD011801180001,CN,"9,600",HOT MELT ADHESIVE,"54,314.88","2,784,517.00"
18-Jan,PROCTER & GAMBLE PHILIPPINES INC,HENKEL CHEMICAL TECHNOLOGIES (SHANG,ISAO V.1726S,4476,CN,"8,640",HOTMELT ADHESIVE,"40,443.33","2,155,664.00"
16-Jan,PROCTER & GAMBLE PHILIPPINES INC,FIRMENICH AROMATICS (CHINA) CO. LTD,ISAO V. 1726S,SNL7SHPL4700184,CN,"2,000",STC 1X20 ESMERALDA CSEA 2015C,"22,490.00","1,141,691.00"
16-Jan,PROCTER & GAMBLE PHILIPPINES INC,GENENCOR INTERNATIONAL B.V.,CSCL MARS,ANT1125695,FI,"10,000",STC 1X20 PREFERENZ (R),"65,879.00","3,423,208.00"
8-Jan,PROCTER & GAMBLE PHILIPPINES INC,NOVOZYMES A/S,NYK ALTAIR,CPH32102126,DK,"5,000",STC ECLIPSE (91407951),"78,102.54","4,031,045.00"
26-Jan,PROCTER & GAMBLE PHILIPPINES INC,NOVOZYMES (CHINA) BIOTECHNOLOGY CO,TRF PRAIA V. 263XWS,TSN32101016,CN,"10,000",STC MEDLEY (91667020),"77,143.63","3,948,095.00"
10-Jan,PROCTER & GAMBLE PHILIPPINES INC,NOVOZYMES (CHINA) BIOTECHNOLOGY CO,PORT KLANG VOYAGER V. 0016S,TSN32100983,CN,"2,000",STC MEDLEY BL (91667020),"13,752.26","694,342.00"
24-Jan,PROCTER & GAMBLE PHILIPPINES INC,NOVOZYMES (CHINA) BIOTECHNOLOGY CO,ELENI T 1712S,TSN32100998,CN,"4,000",STC T-BLEND GREEN NATALASE CALIPSO MANNAWAY,"26,308.00","1,336,087.00"
17-Jan,PROMAX INTERNATIONAL,AB ENZYMES GMBH,BRIDGE V. 034E,A167A10648,SG,"4,840",VERON AX,"88,592.50","4,600,105.00"
