DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
1-Feb,TRANS WORLD TRADING COMPANY,LORD CORPORATION,OOCL HO CHI MINH CITY  20,251717264C,US,948.00,"FLOCKLOK 852, TY - PLY BN ( ADHESIVES )","14,166.00",766736.00
13-Feb,RFM CORPORATION,ENGRAIN LLC,MOL COMPETENCE 057W,NMNL109419,US,5000.00,FOOD ADDITIVES FRAGILE AND PERISHABLE VOLMAX,"239,419.00",12734804.00
1-Feb,3M PHILS. INC.,3M SHANGHAI SPECIALTY MATERIAL,ISAO 1801S,801020,CN,1600.00,GCLF 468MP 50 IN 2500M PRODU,"7,470.84",409891.00
20-Feb,JANGHO GROUP CO LTD PHILIPPINE BRAN,TWO NINE SIX O TRADING PTE.LTD,NYK JOANNA V062N,SE1801005101,SG,598.00,"GE ULTRAGLAZE GREY, GE ALUMINUM GREY","5,181.96",286778.00
15-Feb,SUCERE FOODS CORPORATION,ROUSSELOT (M) SDN BHD,CALICANTO BRIDGE,HDMUSGWB0537040,BR,20000.00,GELATIN 220 H 20,"132,520.00",7061151.00
15-Feb,RIVERDALE CONFECTIONERY INDUSTRY IN,ROUSSELOT SDN BHD,CALICANTO BRIDGE V 248N,HDMUSGWB0537039,SG,20000.00,GELATIN 220H 20,"112,190.00",5980905.00
1-Feb,HOMEBASE TRADING & GEN MERCHANDISE,"PUNING JUN HAO YU TRADING CO., LTD.",SITC MAKASSAR V.1802S,STMK1802MN133,CN,7220.00,GLUE,"8,443.23",440160.00
14-Feb,HOMEBASE TRADING & GEN MERCHANDISE,PUNING JUN HAO YU TRADING CO LTD,SITC GENSAN V. 1804S,STGS1804MN141,CN,3800.00,GLUE,"7,664.69",400727.00
6-Feb,HOMEBASE TRADING & GEN MERCHANDISE,"PUNING JUN HAO YU TRADING CO., LTD.",SITC DAVAO V. 1802S,STDV1802MN041,CN,4990.00,GLUE,"7,562.62",394508.00
23-Feb,HOMEBASE TRADING & GEN MERCHANDISE,PUNING JUN HAO YU TRADING CO LTD,SITC MAKASSAR 1804S,STMK1804MN050,CN,4000.00,GLUE,"6,925.96",364983.00
8-Feb,LEELENG COMMERCIAL INC,LABORATORIES RAYT S.A.U.,MANCHESTER BRIDGE 0014E,400404,ES,2660.00,GLUE MATERIALS (FOR PREPARATION),"7,031.20",386292.00
26-Feb,PRINT4U INC.,DING SHUNG MACHINERY CO LTD,COLOMBO 035S,OOLU2600366520,TW,18400.00,GLUE POWDER,"19,436.00",1100245.00
8-Feb,STT PHILIPPINES INC,STT INC.,CALLAO BRIDGE 124S,YOKABX92521,JP,9072.00,GLUE SE6750A/B,"130,564.22",6939191.00
13-Feb,SYNERGY SALES INTERNATIONAL CORP,XIAMEN QICHEN IMPORT & EXPORT,MS EAGLE V-1803,26704,CN,22000.00,GLUE STARCH AS PER INV#XG180130 dtd. 1/30/20,"12,020.00",631246.00
23-Feb,DECCAN IMPORT & EXPORT TRADING,"YIWU XUZHAN IMP. AND EXP. CO., LTD",DONG FANG QIANG 1803S,SNL8NBPLB401516,CN,9310.00,GLUE STICK,"5,481.98",287282.00
6-Feb,GREAT BUILDERSHOME CORPORATION,YIWU JUZHAN IMP & EXP CO LTD,DONG FANG QIANG,HDMUNXPN2600417,CN,2670.00,GLUE STICK,"5,084.39",262498.00
19-Feb,MAGCARGO TRADING,DONGGUAN YIZHENGTONG IMPORT &,SITC MAKASSAR,STMK1804MN041,CN,4189.00,"GLUE, GLUESTICK","7,859.39",413174.00
7-Feb,BRENNTAG INGREDIENTS INC.,DUPONT NUTRITION BIOSCIENCES APS,LOBIVIA,HLCUANR171242145,DK,2940.00,"GRINDAMYL H 490, GRINDAMYL XV, POWERBAKE 950","42,834.11",2275727.00
8-Feb,H B FULLER PHILS INC,H. B. FULLER ADHESIVES MALAYSIA SDN,XIN QIN HUANG DAO 041E,COAU7120793160,MY,7700.00,GRIPWELL 1201 (INDUSTRIAL ADHESIVES),"13,956.94",721344.00
15-Feb,DESK TOP BAGS PHILIPPINES INC.,GOLDEN COMPANY LIMITED,MOL HORIZON 1098E,PSGNMNL1800580,VN,201.00,HANDBAG ACCESSORIES,"7,370.64",409787.00
9-Feb,SIIX LOGISTICS PHILS. INC.,"SIIX CORP, TOKYO HEADQUARTER",CALLAO BRIDGE 124S,63431,JP,1461.00,HARDENER,"7,377.71",401981.00
7-Feb,ELI LILLY (PHILIPPINES) INC,ELI LILLY AND COMPANY,COSCO HELLAS,12012,US,18144.00,HEMICELL HT 25KG X1BAG PL,"108,192.60",5753556.00
26-Feb,PURECHEM CORPORATION,B.V. NEDERLANDSE INDUSTRIE VAN,NYK VENUS V.054E,HLCURTM180111520,NL,8600.00,HEN EGG ALBUMEN POWDER HIGH WHIP,"75,493.69",4071500.00
26-Feb,PURECHEM CORPORATION,B.V. NEDERLANDSE INDUSTRIE VAN,NYK VENUS V.054E,HLCURTM180111520,NL,1000.00,HEN WHOLE EGG POWDER,"11,436.57",621879.00
9-Feb,WISDOM MFG CO LTD,SHENZHEN IDEAL FRIENDSHIP IMPORT &,BELLA J,79909,CN,15600.00,HENKEL ADHESIVE WG06,"9,951.39",549408.00
22-Feb,WISDOM MFG CO LTD,SHENZHEN IDEAL FRIENDSHIP IMPORT &,ST JOHN,99419,CN,9400.00,HENKEL ADHESIVE WG06,"6,237.13",345873.00
7-Feb,BOSTIK PHILIPPINES INC.,JIANGSU BOSTIK ADHESIVE CO. LTD,ACRUX  N 1803,73044,CN,15400.00,HERBERTS EPS71 AND EPS7380 (ADHESIVE),"48,475.85",2501924.00
21-Feb,BOSTIK PHILIPPINES INC.,JIANGSU BOSTIK ADHESIVE CO. LTD,ISAO1802S,500179,CN,13192.00,HERBERTS HARDENER 107 HERB 2K-LF-520 PURBMP7,"55,206.17",2880524.00
20-Feb,HILTI PHILIPPINES INC.,HILTI CORPORATION,NORTHERN DIAMOND 804A,SGSIN0000085115,SG,31115.00,"HILTI FIXING EQUIPMENT FIRESTOP JOINT SPRAY,","121,445.68",6654446.00
14-Feb,HILTI PHILIPPINES INC.,HILTI CORPORATION,NORTEHRN DEMOCRAT 802A,SGSIN0000084360,SG,10257.00,"HILTI FIXING EQUIPMENT INJECTABLE MORTAR, FS","50,011.56",2711249.00
13-Feb,HILTI PHILIPPINES INC.,HILTI CORPORATION,NORTHERN DEMOCRAT 802A,SGSIN0000084753,SG,6935.00,"HILTIFIXING EQUIPMENT INJECTABLE MORTAR, FIR","61,801.35",3352666.00
2-Feb,AKAGI GOMU PHILS. CORP.,"AKAGI CO., LTD.",CAPE NABIL 032S,YLKS7086253,JP,2454.00,HOT MELT,"9,645.16",519019.00
