DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
19-Mar,GCP APPLIED TECHNOLOGIES,HENKEL (THAILAND) LTD.,MOL HORIZON 1101E,MOLU13807539350,TH,6940.00,"DAREX DRUM 159V, DAREX OP649DE-40","9,336.79",515187.00
23-Mar,INGREDION PHILIPPINES INC.,INGREDION INC,MOL PRESTIGE 048W,NYKSCHIU01380400,US,18371.00,DEXTRINS & OTHER MODIFIED STARCH (THERMTEX T,"19,954.15",1088674.00
28-Mar,INGREDION PHILIPPINES INC.,INGREDION INC,MOL PROSPERITY 113W,NYKSCHIU25039400,US,18371.00,DEXTRINS AND OTHER MODIFIED STARCHES(THERMTE,"19,954.15",1088674.00
15-Mar,ELEMATEC PHILIPPINES INC,ELEMATEC CORPORATION,CAPE NABIL 034S,92380,JP,910.00,DRY SURF,"25,520.02",1393056.00
21-Mar,MEGAPAINT CORPORATION,"AKZO NOBEL PAINTS VIET NAM LTD.,",MOL HORIZON 1100W,SGNMNLS1803015,VN,20000.00,DS PUTTY 40K/A502-29133,"5,625.38",303624.00
26-Mar,UNIVERSAL ROBINA CORPORATION,PB LEINER ARGENTINA SA,CAPE ARTEMISIO V752E,BUEMNLI00080,AR,20800.00,EDIBLE BEEF GELATIN,"113,225.60",6101129.00
20-Mar,ASCO MARKETING CORPORATION,PARMOVO S.R.L.,MUNCHEN BRIDGE,PMF802314053,IT,10000.00,EGG WHITE POWDER EWPHW3,"80,541.50",4338292.00
12-Mar,SWITZ MARKETING CORPORATION,OVOBEL FOODS LIMITED,CMA CGM VERDI 248E,MAACB18001428,IN,5000.00,EGG WHITE POWDER HIGH WHIP,"37,000.00",1951003.00
13-Mar,INGREDION PHILIPPINES INC.,NATIONAL STARCH AND CHEMICAL,MOL HOPE 0042E,MOLU13807423252,TH,116672.00,ELASTIGEL 3000M/INSTANT PURE-FLO,"136,980.93",7152481.00
12-Mar,INGREDION PHILIPPINES INC.,NATIONAL STARCH AND CHEMICAL,MOL HOPE 0042E,MOLU13807423329,TH,162000.00,ELASTIGEL 3000MELASTITEX 1,"111,812.40",5861364.00
8-Mar,AMPERE RESOURCES CORPORATION,BDP ASIA PACIFIC PTE LTD,NYK JOANNA 064N,8101020366A,SG,4164.00,"ELASTOMETRIC FIRESRTOP SPRAY, ENDOTHERMIC","32,114.33",1758113.00
