DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
10-Sep,3M PHILS. INC.,3M KOREA HIGHTECH LTD,BAHAMIAN EXPRESS,808016,KR,738.00,ADHESIVES BASED ON POLYMERS OF WT 3009 4204,"5,358.61",307467.00
24-Sep,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,ANASSA 18003S,PTMNN1809022,CN,1500.00,ADHESIVES NP 585,"7,528.03",409864.00
24-Sep,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,ANASSA 18003S,PTMNN1809022,CN,6000.00,ADHESIVES NP 71KN,"10,230.40",556696.00
13-Sep,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,ANASSA 18002S,PTMNN1809002,CN,19650.00,ADHESIVES P049,"38,969.79",2205352.00
24-Sep,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,ANASSA 18003S,PTMNN1809022,CN,1500.00,ADHESIVES UE 8SF,"7,914.09",430831.00
4-Sep,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER (CHINA) ADHESIVES LTD.,GUANHAIAN98 816,APLU051890084,CN,4000.00,ADVANTRA PHC 9255 (HOT MELT ADHESIVES),"13,951.65",788395.00
28-Sep,H.B FULLER (PHILIPPINES) INC.,H.B. FULLER (CHINA) ADHESIVES LTD.,GSL VALERIE 0D0ES,APLU051906071,CN,15500.00,ADVANTRA PHC 9256 (HOT MELT ADHESIVES),"55,390.80",3016827.00
7-Sep,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER ADHESIVES MALAYSIA SDN,MAIN TRADER 1673 044N,PKGMNL000641,MY,4860.00,ADVANTRA PHC 9256 (INDUSTRIAL ADHESIVES),"15,218.40",817142.00
24-Sep,NAN PAO RESINS CHEMICAL PHILIPPINES,RLA POLYMERS M SDN BHD,EVER BEADY V 1676 008N,MNL0104601,MY,1836.00,AFTEK FLEX PRO PU GREY 600ML,"8,163.97",470464.00
21-Sep,NANOSYS INTERNATIONAL INC,SHANDONG SUKAHAN BI0-TECHNOLOGY CO.,HANSA MAGDEBURG 1824S,TAOMNN01103,CN,500.00,AGRICULTURE ENZYME,"3,007.10",168381.00
4-Sep,KINTETSU LOGISTICS (PHILS) INC.,"SHIRAISHI CALCIUM (THAILAND) CO., L",FORMOSA CONTAINER 5 V18,SITDLCMN135405,TH,839.00,AKTIPLAST,"4,881.60",275992.00
11-Sep,PHILIPPINE FOREMOST MILLING,MUEHLENCHEMIE GMBH & CO. KG,SINO BRIDGE 102E,HDMUHBML1291971,DE,2425.00,"ALPHAMALT HCTE,ALPHAMALT ROX,ALPHAMALT VC 50","33,242.23",1842008.00
21-Sep,BATAAN 2020 INC.,AMAZON PAPYRUS CHEMICALS LIMITED,EVER BEADY V.1676-008N,MNLSE1809005001,SG,2354.00,AMICOAT TC6218,"7,974.32",458737.00
24-Sep,PURATOS PHILIPPINES INC.,PURATOS NV,TRITON 0990 012E,OOLU4035846110,BE,725.00,"AMYLASE FONGIQUE, PREMIX B-15032, PREMIX X 8","12,465.10",697354.00
18-Sep,HENKEL PHILIPPINES INC.,HENKEL (MALAYSIA) SDN BHD,BALTHASAR SCHULTE 105N,930004,MY,2100.00,AQUENCE KL 242-3051 210KG,"4,649.24",269809.00
10-Sep,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,GH ZONDA,MCB468441,SG,700.00,AXTRA PHY 10000 TPT (ENZYME FEED PREMIX POWD,"10,708.83",591566.00
28-Sep,FOOD INDUSTRIES INC.,INGREDION INC.,NORTHERN JAGUAR 100W,HLCUBSC1807BHKC6,US,18341.00,BAKA-SNAKIN DEXTRINS AND OTHER MODIFIED,"34,566.35",1952036.00
12-Sep,INTER NATIONAL ADHESIVES CORP,BEARDOW &  ADAMS ADHESIVES LTD,HERMA P V101E,LONMNL8559195V,GB,1831.00,"BAM FUTURA 1 PEARL WHITE , BAM 1726  PALE A","7,333.38",419278.00
4-Sep,INGREDION PHILIPPINES INC.,INGREDION INC. 5 WESTBROOK,YM UTILITY 057W,HLCUBSC180771553,US,18371.00,BATTERBIND S (TRUETRACE IP),"15,129.14",849523.00
3-Sep,UNILOX INDUSTRIAL CORP,BC TAECHANG INDUSTRIAL CORPORATION,KMTC PORT KELANG V.1810S,ULSMNL18080009,KR,2328.00,BC PETRO PASTE (ORDINARY) BC PETRO PASTE(UND,"8,385.02",474539.00
