DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
25-Apr,NESTLE PHILIPPINES INC.,FONTERRA LIMITED,LARS MAERSK,50968,NZ,25600.00,2X20 SODIUM CASEINATE,"211,609.32",11047501.00
11-Apr,NESTLE PHILIPPINES INC.,FONTERRA LIMITED,LAUST MAERSK,11231,NZ,24780.00,2X20 SODIUM CASEINATE,"204,831.08",10684669.00
16-Apr,MAGNOLIA INC.,FONTERRA LIMITED,LICA MAERSK V824N,64598,NZ,16000.00,MULTI-PLY BAGS RENNET CASEIN,"92,853.03",4844286.00
16-Apr,MAGNOLIA INC.,FONTERRA LIMITED,LICA MAERSK V824N,64621,NZ,15925.00,MULTI-PLY BAGS RENNET CASEIN,"83,775.26",4371722.00
4-Apr,NIPPON PAINT PHILIPPINES INC,NIPPON PAINT THAILAND CO LTD,ISEACO FORTUNE 1813N,SITDLCBT121060,TH,7442.00,PUTTY NAX 2K EXTRA FINE PUTTY 869 HARDENER N,"15,463.19",852188.00
5-Apr,NIPPON PAINT COATINGS PHILIPPINES,SUZUKACOAT (M) SDN BHD,SARAH SCHULTE V.1811,MCB187047,MY,19800.00,TILELAC  EMA BASE,"8,850.60",472846.00
26-Apr,CLEAR EXPORT INDUSTRIES INC.,AKZO NOBEL ADHESIVE PTE. LTD.,KOTA JUTA V0327E,SECEB1804002601,SG,3225.00,"(GLUES) UF 1367, PVAC 3314, EPI 1911","7,707.75",436299.00
13-Apr,MEHITABEL INC.,AKZO NOBEL ADHESIVES PTE.LTD.,KOTA JUTA,SIN72CEB800168,SG,1425.00,"ADHESIVES EPI,HARDENER","5,866.50",326805.00
26-Apr,GENERAL MILLING CORPORATION,MUEHLENCHEMIE GMBH & CO. KG,KJV V.0327E,HLCUHAM180337784,DE,5000.00,ALPHAMALT BX,"73,914.25",3978371.00
19-Apr,REMA TIP TOP (PHILIPPINES) INC.,TIP TOP OBERFLACHENSCHUTZ ELBE GMBH,LOBIVIA V 065E,61571,DE,1164.00,CEMENT BC 3004(TIPTOP BRAND),"17,887.16",977840.00
13-Apr,PHILIPPINE SPRING WATER RESOURCES,"KRONES (THAILAND) CO., LTD.",KOTA JUTA 0326E,803011,DE,6600.00,COLFIX MEGA T 2030 (ALBUMIN),"24,090.00",1603593.00
5-Apr,CENTURY PACIFIC FOOD PACKAGING,HENKEL THAILAND LIMITED,KOTA JUTA V 324,2GES18020250,TH,8293.00,DAREX WBC7799TH (CAN SEALINGCOMPOUND),"22,272.00",1171716.00
5-Apr,CENTURY PACIFIC FOOD PACKAGING,HENKEL THAILAND LIMITED,LOBIVIA V 63,2GES18020673,TH,2849.00,DAREX WBC7799TH (CAN SEALINGCOMPOUND),"7,656.00",406421.00
26-Apr,TSUNEISHI ACCOMMODATION CEBU INC.,"TSUNEISHI TRADING CO., LTD.",PACIFIC JOY 15,FB3,JP,57360.00,"DECK COVERING MATERIALS (TOUGH BOND,ECOLIFE","184,839.38",10177695.00
5-Apr,ADSIA EUROBAKERS MARKETING CORP,COMIX PANEI BV,LOBIVIA V64,CEB90160139,NL,7500.00,ENZYME,"38,335.50",2534524.00
10-Apr,FISCHER PH ASIA INC,FISCHERWERKE GMBH AND CO.KG,LOBIVIA OR SUBS,STRCEBI00054,DE,1000.00,FIS SB 390S D  CODE UN3077- FISCHER,"7,498.83",414126.00
10-Apr,FISCHER PH ASIA INC,FISCHERWERKE GMBH AND CO.KG,LOBIVIA OR SUBS,STRCEBI00054,DE,1000.00,FISEM390S EPOXY RESIN CODE UN3259- FISCHER,"7,532.52",415975.00
24-Apr,HH GROUP CEBU INC.,AKZO NOBEL ADHESIVES PTE. LTD.,KOTA JUTA 0327E,SIND11182080,SG,3006.00,"HOT MELT 3234,MODIFIER 2761B-CONTROLLED,MODI","5,919.12",336429.00
4-Apr,JAKA EQUITIES CORP.,LINXIA HUAAN BIOLOGICAL,CHATTANOOGA,OOLU2601008630,CN,10000.00,INDUSTRIAL CASEIN,"98,520.00",5164058.00
12-Apr,MATERIALS SOLUTIONS  INC.,PT. AICA INDRIA,KOTA JUTA,JKCEB0055291,ID,16450.00,"INWOOD901, DYNOLINK8870","26,616.28",1395372.00
16-Apr,BORAL PLASTERBOARD PHILIPPINES INC.,USG BORAL SDN BHD,UNI ARISE 0341 528S,EGLV090800060712,MY,20776.00,JOINTING COMPOUND,"6,216.48",332450.00
30-Apr,BORAL PLASTERBOARD PHILIPPINES INC.,USG BORAL SDN BHD,UINI ARISE 0343 530S,EGLV090800081841,MY,20776.00,JOINTING COMPOUND,"6,216.48",334385.00
