DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
30-May,WELLINGTON INVESTMENT AND MFG CORP,MUHLENCHEMIE GMBH & CO. KG,SEASPAN THAMES,MNL216183,DE,1000.00,ALPHAMALT VC 5000,"5,287.23",290020.00
18-May,BATAAN 2020 INC.,AMAZON PAPYRUS CHEMICALS LIMITED,ACX CRYSTAL V.176N,MNLSE1805003001,SG,6277.00,AMICOAT TR6112 & TC6218 FOR PAPER MAKING,"22,420.80",1240854.00
10-May,HANKYU HANSHIN LOGISTICS PHILS INC.,"ITATSU CO., LTD.",QUEZON BRIDGE 211S,MEI1183002,JP,1322.00,ARON ALPHA ETC.,"19,907.36",1082810.00
17-May,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,XIN QIN HUANG DAO,OOLU2026146810,SG,700.00,AXTRA PHY 10000 TPT FEED PREMIX POWDER,"10,708.84",575884.00
9-May,FOOD INDUSTRIES INC.,INGREDION INC.,OOCL BEIJING 059W,OOLU2101776590,US,18387.00,BAKA SNAK MODIFIED STARCH DEXTRINS AND,"34,652.02",1864353.00
15-May,INGREDION PHILIPPINES INC.,INGREDION INC. 5 WESTBROOK,OOCL TAIPEI 023W,OOLU2601657550,US,16268.00,BAKA-SNAK/ PURITY GUM 1773/ CLEARJEL S/,"21,704.27",1173034.00
8-May,STT PHILIPPINES INC,"ELKEM SILICONES SHANGHAI CO.,",HAILIAN 1809S,SITGSHMNL02195,CN,12000.00,"BLUESIL TCS 7525AR, BLUESIL TCS 7525 B","120,960.00",6589014.00
3-May,STT PHILIPPINES INC,"ELKEM SILICONES SHANGHAI CO.,",ISAO 1807S,SITGSHMNL02191,CN,12000.00,"BLUESIL TCS 7525AR, BLUESIL TCS 7525B","120,960.00",6661367.00
8-May,SUMI PHILIPPINES WIRING SYSTEMS,SUMITOMO WIRING SYSTEMS LTD.,QUEZON BRIDGE 211S,ONEYNG8CC2069900,JP,319.00,BOND,"6,733.60",367931.00
10-May,BOSTIK PHILIPPINES INC.,BOSTIK GMBH,NYK VEGA,180221,DE,16215.00,BOSTIK SEAL N LFLEX FACADE  GREY AND WHITE 6,"62,604.02",3421070.00
10-May,CRO MAGNON CORPORATION,ITW PP&F KOREA LTD,STIC DALIAN 1812S,SYECYAG570081,KR,1054.00,BRUSHABLE CERAMIC BLUE TITANIUM PUTTY,"8,271.10",455808.00
11-May,CARGILL TEXTURIZING SOLUTIONS,"CARGILL BIO-CHEMICAL CO., LTD",MARIA SCHULTE V. 02N,XDFF302007,CN,19800.00,C*STABITEX 05311,"13,174.92",695234.00
